sensor_status,sensor_errors
254,"Lightning noise,Lightning disturber,Pressure,Temperature,RH,Wind,Precipitation"
255,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,RH,Wind,Precipitation"
256,Light/UV
257,"Lightning failed,Light/UV"
258,"Lightning noise,Light/UV"
259,"Lightning failed,Lightning noise,Light/UV"
260,"Lightning disturber,Light/UV"
261,"Lightning failed,Lightning disturber,Light/UV"
262,"Lightning noise,Lightning disturber,Light/UV"
263,"Lightning failed,Lightning noise,Lightning disturber,Light/UV"
264,"Pressure,Light/UV"
265,"Lightning failed,Pressure,Light/UV"
266,"Lightning noise,Pressure,Light/UV"
267,"Lightning failed,Lightning noise,Pressure,Light/UV"
268,"Lightning disturber,Pressure,Light/UV"
269,"Lightning failed,Lightning disturber,Pressure,Light/UV"
270,"Lightning noise,Lightning disturber,Pressure,Light/UV"
271,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Light/UV"
272,"Temperature,Light/UV"
273,"Lightning failed,Temperature,Light/UV"
274,"Lightning noise,Temperature,Light/UV"
275,"Lightning failed,Lightning noise,Temperature,Light/UV"
276,"Lightning disturber,Temperature,Light/UV"
277,"Lightning failed,Lightning disturber,Temperature,Light/UV"
278,"Lightning noise,Lightning disturber,Temperature,Light/UV"
279,"Lightning failed,Lightning noise,Lightning disturber,Temperature,Light/UV"
280,"Pressure,Temperature,Light/UV"
281,"Lightning failed,Pressure,Temperature,Light/UV"
282,"Lightning noise,Pressure,Temperature,Light/UV"
283,"Lightning failed,Lightning noise,Pressure,Temperature,Light/UV"
284,"Lightning disturber,Pressure,Temperature,Light/UV"
285,"Lightning failed,Lightning disturber,Pressure,Temperature,Light/UV"
286,"Lightning noise,Lightning disturber,Pressure,Temperature,Light/UV"
287,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,Light/UV"
288,"RH,Light/UV"
289,"Lightning failed,RH,Light/UV"
290,"Lightning noise,RH,Light/UV"
291,"Lightning failed,Lightning noise,RH,Light/UV"
292,"Lightning disturber,RH,Light/UV"
293,"Lightning failed,Lightning disturber,RH,Light/UV"
294,"Lightning noise,Lightning disturber,RH,Light/UV"
295,"Lightning failed,Lightning noise,Lightning disturber,RH,Light/UV"
296,"Pressure,RH,Light/UV"
297,"Lightning failed,Pressure,RH,Light/UV"
298,"Lightning noise,Pressure,RH,Light/UV"
299,"Lightning failed,Lightning noise,Pressure,RH,Light/UV"
300,"Lightning disturber,Pressure,RH,Light/UV"
301,"Lightning failed,Lightning disturber,Pressure,RH,Light/UV"
302,"Lightning noise,Lightning disturber,Pressure,RH,Light/UV"
303,"Lightning failed,Lightning noise,Lightning disturber,Pressure,RH,Light/UV"
304,"Temperature,RH,Light/UV"
305,"Lightning failed,Temperature,RH,Light/UV"
306,"Lightning noise,Temperature,RH,Light/UV"
307,"Lightning failed,Lightning noise,Temperature,RH,Light/UV"
308,"Lightning disturber,Temperature,RH,Light/UV"
309,"Lightning failed,Lightning disturber,Temperature,RH,Light/UV"
310,"Lightning noise,Lightning disturber,Temperature,RH,Light/UV"
311,"Lightning failed,Lightning noise,Lightning disturber,Temperature,RH,Light/UV"
312,"Pressure,Temperature,RH,Light/UV"
313,"Lightning failed,Pressure,Temperature,RH,Light/UV"
314,"Lightning noise,Pressure,Temperature,RH,Light/UV"
315,"Lightning failed,Lightning noise,Pressure,Temperature,RH,Light/UV"
316,"Lightning disturber,Pressure,Temperature,RH,Light/UV"
317,"Lightning failed,Lightning disturber,Pressure,Temperature,RH,Light/UV"
318,"Lightning noise,Lightning disturber,Pressure,Temperature,RH,Light/UV"
319,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,RH,Light/UV"
320,"Wind,Light/UV"
321,"Lightning failed,Wind,Light/UV"
322,"Lightning noise,Wind,Light/UV"
323,"Lightning failed,Lightning noise,Wind,Light/UV"
324,"Lightning disturber,Wind,Light/UV"
325,"Lightning failed,Lightning disturber,Wind,Light/UV"
326,"Lightning noise,Lightning disturber,Wind,Light/UV"
327,"Lightning failed,Lightning noise,Lightning disturber,Wind,Light/UV"
328,"Pressure,Wind,Light/UV"
329,"Lightning failed,Pressure,Wind,Light/UV"
330,"Lightning noise,Pressure,Wind,Light/UV"
331,"Lightning failed,Lightning noise,Pressure,Wind,Light/UV"
332,"Lightning disturber,Pressure,Wind,Light/UV"
333,"Lightning failed,Lightning disturber,Pressure,Wind,Light/UV"
334,"Lightning noise,Lightning disturber,Pressure,Wind,Light/UV"
335,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Wind,Light/UV"
336,"Temperature,Wind,Light/UV"
337,"Lightning failed,Temperature,Wind,Light/UV"
338,"Lightning noise,Temperature,Wind,Light/UV"
339,"Lightning failed,Lightning noise,Temperature,Wind,Light/UV"
340,"Lightning disturber,Temperature,Wind,Light/UV"
341,"Lightning failed,Lightning disturber,Temperature,Wind,Light/UV"
342,"Lightning noise,Lightning disturber,Temperature,Wind,Light/UV"
343,"Lightning failed,Lightning noise,Lightning disturber,Temperature,Wind,Light/UV"
344,"Pressure,Temperature,Wind,Light/UV"
345,"Lightning failed,Pressure,Temperature,Wind,Light/UV"
346,"Lightning noise,Pressure,Temperature,Wind,Light/UV"
347,"Lightning failed,Lightning noise,Pressure,Temperature,Wind,Light/UV"
348,"Lightning disturber,Pressure,Temperature,Wind,Light/UV"
349,"Lightning failed,Lightning disturber,Pressure,Temperature,Wind,Light/UV"
350,"Lightning noise,Lightning disturber,Pressure,Temperature,Wind,Light/UV"
351,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,Wind,Light/UV"
352,"RH,Wind,Light/UV"
353,"Lightning failed,RH,Wind,Light/UV"
354,"Lightning noise,RH,Wind,Light/UV"
355,"Lightning failed,Lightning noise,RH,Wind,Light/UV"
356,"Lightning disturber,RH,Wind,Light/UV"
